item_id,customer_postal_code,country,state,city,customer_longitude,customer_latitude,lead_time,name,dc_longitude,dc_latitude,delivered_at,shipped_at,created_at
32591,53716,United States,Wisconsin,Madison,-89.33181116,43.0663617,121.0,Mobile AL,-88.0431,30.6944,2023-05-07 08:24:00.000000 UTC,2023-05-04 01:28:00.000000 UTC,2023-05-02 07:09:51.000000 UTC
42105,92008,United States,California,Carlsbad,-117.3186684,33.1443739,41.0,Mobile AL,-88.0431,30.6944,2023-07-12 19:09:00.000000 UTC,2023-07-11 18:19:00.000000 UTC,2023-07-11 01:54:11.000000 UTC
180392,64804,United States,Missouri,Joplin,-94.51010605,37.01930607,95.0,Mobile AL,-88.0431,30.6944,2023-12-06 16:52:00.000000 UTC,2023-12-03 01:39:00.000000 UTC,2023-12-02 17:42:18.000000 UTC
94138,37604,United States,Tennessee,Johnson City,-82.38219087,36.29532532,77.0,Mobile AL,-88.0431,30.6944,2023-11-23 19:33:00.000000 UTC,2023-11-21 22:13:00.000000 UTC,2023-11-20 14:03:10.000000 UTC
145578,20723,United States,Maryland,North Laurel,-76.86584155,39.13643752,82.0,Mobile AL,-88.0431,30.6944,2023-03-02 11:06:00.000000 UTC,2023-03-01 05:02:00.000000 UTC,2023-02-27 00:38:50.000000 UTC
23651,95648,United States,California,Lincoln,-121.3132424,38.9234415,118.0,Mobile AL,-88.0431,30.6944,2023-08-21 09:12:00.000000 UTC,2023-08-17 10:59:00.000000 UTC,2023-08-16 10:45:40.000000 UTC
119335,85282,United States,Arizona,Tempe,-111.932376,33.39429656,70.0,Mobile AL,-88.0431,30.6944,2023-08-29 10:23:00.000000 UTC,2023-08-28 10:31:00.000000 UTC,2023-08-26 11:48:25.000000 UTC
57368,22630,United States,Virginia,Front Royal,-78.17907578,38.92808973,137.0,Mobile AL,-88.0431,30.6944,2023-08-10 14:30:00.000000 UTC,2023-08-07 06:29:00.000000 UTC,2023-08-04 20:46:12.000000 UTC
7399,37876,United States,Tennessee,Sevierville,-83.47743349,35.86780357,-27.0,Mobile AL,-88.0431,30.6944,2023-12-14 11:05:00.000000 UTC,2023-12-14 06:37:00.000000 UTC,2023-12-15 14:19:28.000000 UTC
159686,84065,United States,Utah,Bluffdale,-111.9497102,40.49056621,60.0,Mobile AL,-88.0431,30.6944,2023-10-16 21:13:00.000000 UTC,2023-10-15 05:11:00.000000 UTC,2023-10-14 09:09:12.000000 UTC
105701,55021,United States,Minnesota,Faribault,-93.2742962,44.29431414,51.0,Mobile AL,-88.0431,30.6944,2023-09-20 15:20:00.000000 UTC,2023-09-18 05:37:00.000000 UTC,2023-09-18 11:50:39.000000 UTC
120079,32507,United States,Florida,Warrington,-87.38208729,30.33671992,2.0,Mobile AL,-88.0431,30.6944,2023-06-17 07:57:00.000000 UTC,2023-06-15 02:05:00.000000 UTC,2023-06-17 05:38:03.000000 UTC
39454,91762,United States,California,Ontario,-117.6453417,34.02950939,98.0,Mobile AL,-88.0431,30.6944,2023-06-01 23:59:00.000000 UTC,2023-05-30 22:34:00.000000 UTC,2023-05-28 21:44:54.000000 UTC
96249,24060,United States,Virginia,Blacksburg,-80.42389715,37.25465014,-40.0,Mobile AL,-88.0431,30.6944,2023-12-27 08:04:00.000000 UTC,2023-12-25 13:46:00.000000 UTC,2023-12-29 00:26:41.000000 UTC
161799,33018,United States,Florida,Hialeah,-80.38397067,25.91577743,142.0,Mobile AL,-88.0431,30.6944,2023-06-12 01:46:00.000000 UTC,2023-06-08 14:24:00.000000 UTC,2023-06-06 03:15:21.000000 UTC
115623,84121,United States,Utah,Cottonwood Heights,-111.6753778,40.61482174,127.0,Mobile AL,-88.0431,30.6944,2024-01-03 18:24:00.000000 UTC,2023-12-31 18:38:00.000000 UTC,2023-12-29 11:10:03.000000 UTC
78272,72758,United States,Arkansas,Rogers,-94.13714245,36.29904853,70.0,Mobile AL,-88.0431,30.6944,2023-07-05 22:49:00.000000 UTC,2023-07-01 13:54:00.000000 UTC,2023-07-03 00:36:11.000000 UTC
177384,20744,United States,Maryland,Fort Washington,-76.99112968,38.75290885,60.0,Mobile AL,-88.0431,30.6944,2023-10-27 17:44:00.000000 UTC,2023-10-23 21:44:00.000000 UTC,2023-10-25 05:01:42.000000 UTC
23753,92253,United States,California,La Quinta,-116.2795186,33.64779684,84.0,Mobile AL,-88.0431,30.6944,2023-11-28 23:09:00.000000 UTC,2023-11-26 01:55:00.000000 UTC,2023-11-25 10:12:13.000000 UTC
108541,48505,United States,Michigan,Flint,-83.68608109,43.07217092,53.0,Mobile AL,-88.0431,30.6944,2023-02-19 20:53:00.000000 UTC,2023-02-19 19:13:00.000000 UTC,2023-02-17 15:29:09.000000 UTC
1387,77373,United States,Texas,Spring,-95.38470124,30.06143342,160.0,Mobile AL,-88.0431,30.6944,2023-04-22 02:45:00.000000 UTC,2023-04-17 11:58:00.000000 UTC,2023-04-15 10:12:22.000000 UTC
128799,11218,United States,New York,New York,-73.98044845,40.64693388,114.0,Mobile AL,-88.0431,30.6944,2023-11-26 00:34:00.000000 UTC,2023-11-24 02:55:00.000000 UTC,2023-11-21 05:50:22.000000 UTC
86528,78504,United States,Texas,McAllen,-98.23216705,26.33709382,73.0,Mobile AL,-88.0431,30.6944,2023-11-10 03:05:00.000000 UTC,2023-11-08 08:22:00.000000 UTC,2023-11-07 02:00:48.000000 UTC
68506,92114,United States,California,San Diego,-117.0552626,32.70771319,-23.0,Mobile AL,-88.0431,30.6944,2023-11-18 13:15:00.000000 UTC,2023-11-16 17:32:00.000000 UTC,2023-11-19 12:59:51.000000 UTC
118818,99337,United States,Washington,Highland,-119.089816,46.06112414,15.0,Mobile AL,-88.0431,30.6944,2023-07-08 01:12:00.000000 UTC,2023-07-04 12:21:00.000000 UTC,2023-07-07 09:18:45.000000 UTC
60781,30263,United States,Georgia,Newnan,-84.8596819,33.38840474,-12.0,Mobile AL,-88.0431,30.6944,2023-05-04 09:56:00.000000 UTC,2023-05-02 09:42:00.000000 UTC,2023-05-04 22:55:01.000000 UTC
56372,28227,United States,North Carolina,Mint Hill,-80.65131063,35.1898167,73.0,Mobile AL,-88.0431,30.6944,2023-10-10 13:50:00.000000 UTC,2023-10-10 06:53:00.000000 UTC,2023-10-07 12:17:53.000000 UTC
70611,84084,United States,Utah,West Jordan,-111.9667299,40.62166518,-10.0,Mobile AL,-88.0431,30.6944,2023-11-14 05:05:00.000000 UTC,2023-11-13 08:50:00.000000 UTC,2023-11-14 15:25:29.000000 UTC
